Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2,12/23/2014,7959,957,1,0,0,1
1,1,12/22/2014,9331,1080,1,0,0,1
1,7,12/21/2014,0,0,0,0,0,0
1,6,12/20/2014,8367,962,1,0,0,0
1,5,12/19/2014,7558,884,1,1,0,0
1,4,12/18/2014,7785,841,1,1,0,0
1,3,12/17/2014,7523,791,1,1,0,0
1,2,12/16/2014,7739,823,1,1,0,0
1,1,12/15/2014,8069,871,1,1,0,0
1,7,12/14/2014,0,0,0,0,0,0
1,6,12/13/2014,7263,850,1,0,0,0
1,5,12/12/2014,5269,617,1,0,0,0
1,4,12/11/2014,5060,587,1,0,0,0
1,3,12/10/2014,4915,619,1,0,0,0
1,2,12/9/2014,4345,559,1,0,0,0
1,1,12/8/2014,4884,610,1,0,0,0
1,7,12/7/2014,0,0,0,0,0,0
1,6,12/6/2014,6185,746,1,0,0,0
1,5,12/5/2014,6207,712,1,1,0,0
1,4,12/4/2014,7016,681,1,1,0,0
1,3,12/3/2014,6454,695,1,1,0,0
1,2,12/2/2014,6467,717,1,1,0,0
1,1,12/1/2014,7380,723,1,1,0,0
1,7,11/30/2014,0,0,0,0,0,0
1,6,11/29/2014,7066,749,1,0,0,0
1,5,11/28/2014,7195,711,1,1,0,0
1,4,11/27/2014,6144,668,1,1,0,0
1,3,11/26/2014,5328,611,1,1,0,0
1,2,11/25/2014,5815,610,1,1,0,0
1,1,11/24/2014,6527,694,1,1,0,0
1,7,11/23/2014,0,0,0,0,0,0
1,6,11/22/2014,5849,678,1,0,0,0
1,5,11/21/2014,4594,570,1,0,0,0
1,4,11/20/2014,4963,635,1,0,0,0
1,3,11/19/2014,3894,494,1,0,0,0
1,2,11/18/2014,3890,529,1,0,0,0
1,1,11/17/2014,3582,491,1,0,0,0
1,7,11/16/2014,0,0,0,0,0,0
1,6,11/15/2014,4967,614,1,0,0,0
1,5,11/14/2014,5334,603,1,1,0,0
1,4,11/13/2014,3869,471,1,1,0,0
1,3,11/12/2014,4677,533,1,1,0,0
1,2,11/11/2014,4479,555,1,1,0,0
1,1,11/10/2014,5474,578,1,1,0,0
1,7,11/9/2014,0,0,0,0,0,0
1,6,11/8/2014,4720,546,1,0,0,0
1,5,11/7/2014,5220,582,1,1,0,0
1,4,11/6/2014,4785,527,1,1,0,0
1,3,11/5/2014,4838,539,1,1,0,0
1,2,11/4/2014,5253,586,1,1,0,0
1,1,11/3/2014,5857,625,1,1,0,0
1,7,11/2/2014,0,0,0,0,0,0
1,6,11/1/2014,6532,731,1,0,0,0
1,5,10/31/2014,4161,512,1,0,0,1
1,4,10/30/2014,4042,492,1,0,0,1
1,3,10/29/2014,3761,449,1,0,0,1
1,2,10/28/2014,3364,439,1,0,0,1
1,1,10/27/2014,4260,475,1,0,0,1
1,7,10/26/2014,0,0,0,0,0,1
1,6,10/25/2014,4596,539,1,0,0,1
1,5,10/24/2014,4196,495,1,1,0,1
1,4,10/23/2014,4466,476,1,1,0,1
1,3,10/22/2014,4868,566,1,1,0,1
1,2,10/21/2014,4678,547,1,1,0,1
1,1,10/20/2014,4652,560,1,1,0,1
1,7,10/19/2014,0,0,0,0,0,0
1,6,10/18/2014,4169,497,1,0,0,0
1,5,10/17/2014,3720,500,1,0,0,0
1,4,10/16/2014,3430,436,1,0,0,0
1,3,10/15/2014,3775,451,1,0,0,0
1,2,10/14/2014,3681,476,1,0,0,0
1,1,10/13/2014,4033,492,1,0,0,0
1,7,10/12/2014,0,0,0,0,0,0
1,6,10/11/2014,4743,557,1,0,0,0
1,5,10/10/2014,4396,539,1,1,0,0
1,4,10/9/2014,4654,527,1,1,0,0
1,3,10/8/2014,4944,518,1,1,0,0
1,2,10/7/2014,5439,556,1,1,0,0
1,1,10/6/2014,5402,608,1,1,0,0
1,7,10/5/2014,0,0,0,0,0,0
1,6,10/4/2014,5355,621,1,0,0,0
1,5,10/3/2014,0,0,0,1,a,0
1,4,10/2/2014,5400,601,1,1,0,0
1,3,10/1/2014,4712,554,1,1,0,0
1,2,9/30/2014,4919,550,1,1,0,0
1,1,9/29/2014,5280,566,1,1,0,0
1,7,9/28/2014,0,0,0,0,0,0
1,6,9/27/2014,3914,464,1,0,0,0
1,5,9/26/2014,3518,442,1,0,0,0
1,4,9/25/2014,2462,378,1,0,0,0
1,3,9/24/2014,3405,465,1,0,0,0
1,2,9/23/2014,3407,437,1,0,0,0
1,1,9/22/2014,3982,466,1,0,0,0
1,7,9/21/2014,0,0,0,0,0,0
1,6,9/20/2014,3911,500,1,0,0,0
1,5,9/19/2014,4128,485,1,1,0,0
1,4,9/18/2014,3740,447,1,1,0,0
1,3,9/17/2014,4383,490,1,1,0,0
1,2,9/16/2014,4381,511,1,1,0,0
1,1,9/15/2014,4611,545,1,1,0,0
1,7,9/14/2014,0,0,0,0,0,0
1,6,9/13/2014,4270,508,1,0,0,0
1,5,9/12/2014,3906,501,1,0,0,0
1,4,9/11/2014,3392,437,1,0,0,0
1,3,9/10/2014,3275,448,1,0,0,0
1,2,9/9/2014,3377,439,1,0,0,0
1,1,9/8/2014,3676,530,1,0,0,0
1,7,9/7/2014,0,0,0,0,0,0
1,6,9/6/2014,3959,515,1,0,0,0
1,5,9/5/2014,4706,553,1,1,0,1
1,4,9/4/2014,4346,507,1,1,0,1
1,3,9/3/2014,4978,539,1,1,0,1
1,2,9/2/2014,5008,564,1,1,0,1
1,1,9/1/2014,5464,561,1,1,0,1
1,7,8/31/2014,0,0,0,0,0,1
1,6,8/30/2014,4094,518,1,0,0,1
1,5,8/29/2014,3869,439,1,0,0,1
1,4,8/28/2014,3920,467,1,0,0,1
1,3,8/27/2014,3148,421,1,0,0,1
1,2,8/26/2014,3396,460,1,0,0,1
1,1,8/25/2014,3414,449,1,0,0,1
1,7,8/24/2014,0,0,0,0,0,1
1,6,8/23/2014,3582,469,1,0,0,1
1,5,8/22/2014,3971,461,1,1,0,1
1,4,8/21/2014,4327,484,1,1,0,1
1,3,8/20/2014,4280,467,1,1,0,1
1,2,8/19/2014,5190,528,1,1,0,1
1,1,8/18/2014,5623,598,1,1,0,1
1,7,8/17/2014,0,0,0,0,0,1
1,6,8/16/2014,4425,544,1,0,0,1
1,5,8/15/2014,3746,479,1,0,0,1
1,4,8/14/2014,3906,481,1,0,0,1
1,3,8/13/2014,4069,496,1,0,0,1
1,2,8/12/2014,3185,421,1,0,0,1
1,1,8/11/2014,3886,505,1,0,0,1
1,7,8/10/2014,0,0,0,0,0,1
1,6,8/9/2014,4174,504,1,0,0,1
1,5,8/8/2014,4451,503,1,1,0,1
1,4,8/7/2014,4154,480,1,1,0,1
1,3,8/6/2014,5337,575,1,1,0,1
1,2,8/5/2014,5433,620,1,1,0,1
1,1,8/4/2014,5655,592,1,1,0,1
1,7,8/3/2014,0,0,0,0,0,1
1,6,8/2/2014,4731,555,1,0,0,1
1,5,8/1/2014,5038,572,1,1,0,1
1,4,7/31/2014,5106,575,1,1,0,0
1,3,7/30/2014,5487,587,1,1,0,1
1,2,7/29/2014,5252,591,1,1,0,1
1,1,7/28/2014,5372,584,1,1,0,1
1,7,7/27/2014,0,0,0,0,0,0
1,6,7/26/2014,4266,488,1,0,0,0
1,5,7/25/2014,3858,461,1,0,0,0
1,4,7/24/2014,3557,494,1,0,0,0
1,3,7/23/2014,3806,476,1,0,0,0
1,2,7/22/2014,3933,495,1,0,0,0
1,1,7/21/2014,4507,528,1,0,0,0
1,7,7/20/2014,0,0,0,0,0,0
1,6,7/19/2014,4084,477,1,0,0,0
1,5,7/18/2014,4609,506,1,1,0,0
1,4,7/17/2014,4685,525,1,1,0,0
1,3,7/16/2014,5424,566,1,1,0,0
1,2,7/15/2014,5298,538,1,1,0,0
1,1,7/14/2014,5083,532,1,1,0,0
1,7,7/13/2014,0,0,0,0,0,0
1,6,7/12/2014,4409,531,1,0,0,0
1,5,7/11/2014,4020,463,1,0,0,0
1,4,7/10/2014,3741,472,1,0,0,0
1,3,7/9/2014,3547,485,1,0,0,0
1,2,7/8/2014,4081,510,1,0,0,0
1,1,7/7/2014,4223,505,1,0,0,0
1,7,7/6/2014,0,0,0,0,0,0
1,6,7/5/2014,5176,589,1,0,0,0
1,5,7/4/2014,4025,450,1,1,0,0
1,4,7/3/2014,4756,514,1,1,0,0
1,3,7/2/2014,5161,560,1,1,0,0
1,2,7/1/2014,5138,533,1,1,0,0
1,1,6/30/2014,5738,641,1,1,0,0
1,7,6/29/2014,0,0,0,0,0,0
1,6,6/28/2014,5162,566,1,0,0,0
1,5,6/27/2014,4019,501,1,0,0,0
1,4,6/26/2014,2749,368,1,0,0,0
1,3,6/25/2014,3727,440,1,0,0,0
1,2,6/24/2014,3351,444,1,0,0,0
1,1,6/23/2014,3755,456,1,0,0,0
1,7,6/22/2014,0,0,0,0,0,0
1,6,6/21/2014,3982,496,1,0,0,0
1,5,6/20/2014,6362,709,1,1,0,0
1,4,6/19/2014,0,0,0,1,a,0
1,3,6/18/2014,5256,567,1,1,0,0
1,2,6/17/2014,5770,594,1,1,0,0
1,1,6/16/2014,4788,529,1,1,0,0
1,7,6/15/2014,0,0,0,0,0,0
1,6,6/14/2014,4757,562,1,0,0,0
1,5,6/13/2014,3901,498,1,0,0,0
1,4,6/12/2014,3702,489,1,0,0,0
1,3,6/11/2014,4207,535,1,0,0,0
1,2,6/10/2014,4607,560,1,0,0,0
1,1,6/9/2014,0,0,0,0,a,0
1,7,6/8/2014,0,0,0,0,0,0
1,6,6/7/2014,4923,555,1,0,0,0
1,5,6/6/2014,4957,575,1,1,0,0
1,4,6/5/2014,5278,585,1,1,0,0
1,3,6/4/2014,5229,570,1,1,0,0
1,2,6/3/2014,5614,593,1,1,0,0
1,1,6/2/2014,6071,609,1,1,0,0
1,7,6/1/2014,0,0,0,0,0,0
1,6,5/31/2014,4985,560,1,0,0,0
1,5,5/30/2014,5407,628,1,0,0,0
1,4,5/29/2014,0,0,0,0,a,0
1,3,5/28/2014,4616,581,1,0,0,0
1,2,5/27/2014,3971,511,1,0,0,0
1,1,5/26/2014,3912,494,1,0,0,0
1,7,5/25/2014,0,0,0,0,0,0
1,6,5/24/2014,4574,516,1,0,0,0
1,5,5/23/2014,4968,526,1,1,0,0
1,4,5/22/2014,3801,481,1,1,0,0
1,3,5/21/2014,4298,510,1,1,0,0
1,2,5/20/2014,4909,549,1,1,0,0
1,1,5/19/2014,5637,608,1,1,0,0
1,7,5/18/2014,0,0,0,0,0,0
1,6,5/17/2014,3785,512,1,0,0,0
1,5,5/16/2014,3863,479,1,0,0,0
1,4,5/15/2014,3589,491,1,0,0,0
1,3,5/14/2014,3710,474,1,0,0,0
1,2,5/13/2014,3535,449,1,0,0,0
1,1,5/12/2014,3957,555,1,0,0,0
1,7,5/11/2014,0,0,0,0,0,0
1,6,5/10/2014,5996,710,1,0,0,0
1,5,5/9/2014,5237,622,1,1,0,0
1,4,5/8/2014,5222,614,1,1,0,0
1,3,5/7/2014,5075,604,1,1,0,0
1,2,5/6/2014,5055,585,1,1,0,0
1,1,5/5/2014,5325,615,1,1,0,0
1,7,5/4/2014,0,0,0,0,0,0
1,6,5/3/2014,5498,633,1,0,0,0
1,5,5/2/2014,6790,732,1,1,0,0
1,4,5/1/2014,0,0,0,1,a,0
1,3,4/30/2014,5870,624,1,1,0,0
1,2,4/29/2014,5923,628,1,1,0,0
1,1,4/28/2014,5488,607,1,1,0,0
1,7,4/27/2014,0,0,0,0,0,0
1,6,4/26/2014,3989,535,1,0,0,0
1,5,4/25/2014,3710,468,1,0,0,1
1,4,4/24/2014,3376,461,1,0,0,1
1,3,4/23/2014,3482,434,1,0,0,1
1,2,4/22/2014,4133,563,1,0,0,1
1,1,4/21/2014,0,0,0,0,b,1
1,7,4/20/2014,0,0,0,0,0,1
1,6,4/19/2014,5871,642,1,0,0,1
1,5,4/18/2014,0,0,0,1,b,1
1,4,4/17/2014,6160,703,1,1,0,1
1,3,4/16/2014,6381,662,1,1,0,1
1,2,4/15/2014,6196,672,1,1,0,1
1,1,4/14/2014,6803,693,1,1,0,1
1,7,4/13/2014,0,0,0,0,0,0
1,6,4/12/2014,4435,570,1,0,0,0
1,5,4/11/2014,3733,507,1,0,0,0
1,4,4/10/2014,3948,501,1,0,0,0
1,3,4/9/2014,3919,528,1,0,0,0
1,2,4/8/2014,3990,496,1,0,0,0
1,1,4/7/2014,3751,497,1,0,0,0
1,7,4/6/2014,0,0,0,0,0,0
1,6,4/5/2014,4599,571,1,0,0,0
1,5,4/4/2014,4738,552,1,1,0,0
1,4,4/3/2014,4556,526,1,1,0,0
1,3,4/2/2014,4834,539,1,1,0,0
1,2,4/1/2014,5407,583,1,1,0,0
1,1,3/31/2014,6008,640,1,1,0,0
1,7,3/30/2014,0,0,0,0,0,0
1,6,3/29/2014,4583,548,1,0,0,0
1,5,3/28/2014,3987,471,1,0,0,0
1,4,3/27/2014,3847,512,1,0,0,0
1,3,3/26/2014,3225,443,1,0,0,0
1,2,3/25/2014,3136,448,1,0,0,0
1,1,3/24/2014,3850,511,1,0,0,0
1,7,3/23/2014,0,0,0,0,0,0
1,6,3/22/2014,5241,628,1,0,0,0
1,5,3/21/2014,4510,542,1,1,0,0
1,4,3/20/2014,4023,485,1,1,0,0
1,3,3/19/2014,4036,496,1,1,0,0
1,2,3/18/2014,5200,635,1,1,0,0
1,1,3/17/2014,5563,628,1,1,0,0
1,7,3/16/2014,0,0,0,0,0,0
1,6,3/15/2014,5042,630,1,0,0,0
1,5,3/14/2014,3883,502,1,0,0,0
1,4,3/13/2014,3224,450,1,0,0,0
1,3,3/12/2014,3805,499,1,0,0,0
1,2,3/11/2014,3588,476,1,0,0,0
1,1,3/10/2014,3573,469,1,0,0,0
1,7,3/9/2014,0,0,0,0,0,0
1,6,3/8/2014,4400,550,1,0,0,0
1,5,3/7/2014,5340,588,1,1,0,0
1,4,3/6/2014,4585,542,1,1,0,0
1,3,3/5/2014,4916,592,1,1,0,0
1,2,3/4/2014,5397,619,1,1,0,0
1,1,3/3/2014,6198,616,1,1,0,0
1,7,3/2/2014,0,0,0,0,0,0
1,6,3/1/2014,5307,655,1,0,0,0
1,5,2/28/2014,5031,603,1,0,0,0
1,4,2/27/2014,3826,519,1,0,0,0
1,3,2/26/2014,4108,491,1,0,0,0
1,2,2/25/2014,3499,470,1,0,0,0
1,1,2/24/2014,3826,481,1,0,0,0
1,7,2/23/2014,0,0,0,0,0,0
1,6,2/22/2014,4820,623,1,0,0,0
1,5,2/21/2014,4727,550,1,1,0,0
1,4,2/20/2014,4563,559,1,1,0,0
1,3,2/19/2014,4935,547,1,1,0,0
1,2,2/18/2014,4602,556,1,1,0,0
1,1,2/17/2014,5393,606,1,1,0,0
1,7,2/16/2014,0,0,0,0,0,0
1,6,2/15/2014,5258,655,1,0,0,0
1,5,2/14/2014,4647,591,1,0,0,0
1,4,2/13/2014,3638,517,1,0,0,0
1,3,2/12/2014,3662,508,1,0,0,0
1,2,2/11/2014,3461,481,1,0,0,0
1,1,2/10/2014,3591,502,1,0,0,0
1,7,2/9/2014,0,0,0,0,0,0
1,6,2/8/2014,4726,620,1,0,0,0
1,5,2/7/2014,5596,636,1,1,0,0
1,4,2/6/2014,4823,557,1,1,0,0
1,3,2/5/2014,5031,581,1,1,0,0
1,2,2/4/2014,5540,602,1,1,0,0
1,1,2/3/2014,5839,638,1,1,0,0
1,7,2/2/2014,0,0,0,0,0,0
1,6,2/1/2014,5292,667,1,0,0,0
1,5,1/31/2014,4906,589,1,0,0,0
1,4,1/30/2014,4549,543,1,0,0,0
1,3,1/29/2014,3789,491,1,0,0,0
1,2,1/28/2014,3581,453,1,0,0,0
1,1,1/27/2014,3601,517,1,0,0,0
1,7,1/26/2014,0,0,0,0,0,0
1,6,1/25/2014,4546,561,1,0,0,0
1,5,1/24/2014,5098,587,1,1,0,0
1,4,1/23/2014,4597,525,1,1,0,0
1,3,1/22/2014,4562,549,1,1,0,0
1,2,1/21/2014,5151,551,1,1,0,0
1,1,1/20/2014,6148,653,1,1,0,0
1,7,1/19/2014,0,0,0,0,0,0
1,6,1/18/2014,5128,630,1,0,0,0
1,5,1/17/2014,3803,479,1,0,0,0
1,4,1/16/2014,3632,477,1,0,0,0
1,3,1/15/2014,3776,486,1,0,0,0
1,2,1/14/2014,3621,464,1,0,0,0
1,1,1/13/2014,3994,545,1,0,0,0
1,7,1/12/2014,0,0,0,0,0,0
1,6,1/11/2014,4454,569,1,0,0,0
1,5,1/10/2014,4486,559,1,1,0,1
1,4,1/9/2014,4396,539,1,1,0,1
1,3,1/8/2014,4931,589,1,1,0,1
1,2,1/7/2014,5539,607,1,1,0,1
1,1,1/6/2014,6194,649,1,1,0,1
1,7,1/5/2014,0,0,0,0,0,1
1,6,1/4/2014,5173,660,1,0,0,1
1,5,1/3/2014,4190,552,1,0,0,1
1,4,1/2/2014,4969,618,1,0,0,1
1,3,1/1/2014,0,0,0,0,a,1
1,2,12/31/2013,2362,298,1,0,0,1
1,1,12/30/2013,7193,796,1,0,0,1
1,7,12/29/2013,0,0,0,0,0,1
1,6,12/28/2013,5659,716,1,0,0,1
1,5,12/27/2013,6110,737,1,0,0,1
1,4,12/26/2013,0,0,0,0,c,1
